keyword,intents,position,serp_features,traffic,traffic_pct,volume,kd_pct,url
the ivy,C,55,5,2,0.0,27100,53,miamiresidential.com/theivy
fisher island,I,53,10,0,0.0,22200,48,miamiresidential.com/sixfisherisland/
w miami,I|T,11,7,18,0.07,12100,61,miamiresidential.com/wmiami/
mandarin oriental miami,I|T,60,8,0,0.0,12100,50,miamiresidential.com/mandarinhotel/
mandarin oriental miami,I|T,21,8,1,0.0,12100,50,miamiresidential.com/mandarinresidences/
fisher isle,I,44,8,3,0.01,12100,41,miamiresidential.com/sixfisherisland/
the ritz carlton south beach,I|T,54,7,0,0.0,9900,55,miamiresidential.com/ritzcarltonsouthbeach/
mr c,I,22,8,2,0.0,9900,65,miamiresidential.com/mrcresidences
gale miami hotel and residences,I|N,78,8,0,0.0,9900,45,miamiresidential.com/es/galemiami/
gale miami hotel and residences,I|N,62,8,0,0.0,9900,45,miamiresidential.com/es/galemiami/
gale miami hotel and residences,I|N,15,8,2,0.0,9900,45,miamiresidential.com/galemiami/
ritz carlton key biscayne,I,31,9,1,0.0,8100,51,miamiresidential.com/ritzcarltonkeybiscayne/
sls lux brickell,C,88,7,0,0.0,8100,39,miamiresidential.com/duamiami/
sls lux brickell,C,23,7,5,0.02,8100,39,miamiresidential.com/slslux/
cipriani miami,I|T,34,6,0,0.0,8100,48,miamiresidential.com/ciprianiresidences
the ritz carlton key biscayne miami,I,42,8,0,0.0,8100,51,miamiresidential.com/ritzcarltonkeybiscayne/
the lincoln,C,25,6,12,0.04,8100,44,miamiresidential.com/thelincoln/
fontainebleau miami beach collins avenue miami beach fl,N,69,7,0,0.0,8100,57,miamiresidential.com/fontainebleauii
panorama tower,N,76,7,0,0.0,6600,46,miamiresidential.com/es/panoramatower/
panorama tower,N,21,7,1,0.0,6600,46,miamiresidential.com/panoramatower/
panorama tower,N,,7,26,0.1,6600,46,miamiresidential.com/panoramatower/
fisher island miami beach florida,I,59,10,0,0.0,6600,41,miamiresidential.com/sixfisherisland/
the crosby,I,23,6,1,0.0,6600,55,miamiresidential.com/thecrosby
artech,N|T,,7,21,0.08,6600,48,miamiresidential.com/artech/
mercedes house,N,46,8,0,0.0,6600,19,miamiresidential.com/mercedesbenzplaces/
the ritz carlton coconut grove miami miami fl usa,I|T,79,5,0,0.0,5400,57,miamiresidential.com/ritzcarltoncoconutgrove/
hotel ritz key biscayne florida,I,26,7,3,0.01,5400,49,miamiresidential.com/ritzcarltonkeybiscayne/
paramount miami world center location,I,17,6,16,0.06,5400,20,miamiresidential.com/paramount/
hyde midtown miami,C,65,7,0,0.0,5400,36,miamiresidential.com/es/hyde-midtown/
hyde midtown miami,C,25,7,8,0.03,5400,36,miamiresidential.com/hyde-midtown/
paramount miami,I,11,8,8,0.03,5400,26,miamiresidential.com/paramount/
the ritz carlton coconut grove miami florida,I,84,8,0,0.0,5400,47,miamiresidential.com/ritzcarltoncoconutgrove/
the ritz carlton coconut grove miami florida,I,77,8,0,0.0,5400,47,miamiresidential.com/ritzcarltoncoconutgrove/
aman miami,I,51,9,0,0.0,5400,41,miamiresidential.com/es/amanmiamibeach
aman miami,I,9,9,1,0.0,5400,41,miamiresidential.com/amanmiamibeach
aman miami,I,,9,0,0.0,5400,41,miamiresidential.com/amanmiamibeach
aman miami,I,,9,0,0.0,5400,41,miamiresidential.com/amanmiamibeach
flow brickell,N,70,8,0,0.0,5400,39,miamiresidential.com/duamiami/
flow brickell,N,42,8,0,0.0,5400,39,miamiresidential.com/flowhouse/
flow brickell,N,29,8,0,0.0,5400,39,miamiresidential.com/flowhouse/
flow brickell,N,14,8,1,0.0,5400,39,miamiresidential.com/flowbrickell/
paramount world center miami fl,C,21,6,8,0.03,5400,20,miamiresidential.com/paramount/
paramount world center miami fl,C,20,6,8,0.03,5400,20,miamiresidential.com/paramount/
melody towers downtown miami,I,76,4,0,0.0,5400,28,miamiresidential.com/
melody towers downtown miami,I,49,4,1,0.0,5400,28,miamiresidential.com/themadison
hotel ritz carlton miami key biscayne,I,37,6,0,0.0,5400,52,miamiresidential.com/ritzcarltonkeybiscayne/
arte grand central,N,44,5,0,0.0,5400,31,miamiresidential.com/
ritz carlton resort key biscayne,I,38,7,0,0.0,5400,50,miamiresidential.com/ritzcarltonkeybiscayne/
ritz-carlton key biscayne miami,I,31,7,0,0.0,5400,52,miamiresidential.com/ritzcarltonkeybiscayne/
magnus brickell,I|N,72,6,0,0.0,5400,31,miamiresidential.com/mybrickell/
magnus brickell,I|N,51,6,0,0.0,5400,31,miamiresidential.com/
magnus brickell,I|N,44,6,0,0.0,5400,31,miamiresidential.com/mybrickell/
coral gables village of merrick park,N,19,6,1,0.0,4400,42,miamiresidential.com/coramerrickpark/
miami canvas,I,5,3,193,0.77,4400,28,miamiresidential.com/canvas
